,Language
"['Spanish, Castilian']",462
['English'],401
['German'],44
['Portuguese'],19
"['Catalan, Valencian']",15
['French'],9
['Italian'],9
"['Romanian, Moldavian, Moldovan']",7
['Somali'],4
['Tagalog'],3
['Croatian'],3
['Estonian'],2
['Korean'],2
['Turkish'],1
['Vietnamese'],1
['Hungarian'],1
['Lithuanian'],1
"['Dutch, Flemish']",1
['Finnish'],1
['Norwegian'],1
['Indonesian'],1
['Welsh'],1
['Russian'],1
