,Language
"['Spanish, Castilian']",461
['English'],402
['German'],47
['Portuguese'],21
"['Catalan, Valencian']",13
['French'],8
['Italian'],8
"['Romanian, Moldavian, Moldovan']",7
['Somali'],4
['Croatian'],3
['Tagalog'],2
['Estonian'],2
['Norwegian'],1
['Korean'],1
['Russian'],1
['Welsh'],1
['Indonesian'],1
['Vietnamese'],1
['Finnish'],1
['Lithuanian'],1
['Swahili'],1
['Turkish'],1
['Hungarian'],1
[],1
