,Language
"['Spanish, Castilian']",463
['English'],399
['German'],46
['Portuguese'],19
"['Catalan, Valencian']",12
['French'],10
['Italian'],8
"['Romanian, Moldavian, Moldovan']",8
['Somali'],5
['Croatian'],3
['Swahili'],2
['Tagalog'],2
['Estonian'],2
['Russian'],1
['Norwegian'],1
[],1
['Welsh'],1
['Indonesian'],1
['Vietnamese'],1
['Finnish'],1
['Lithuanian'],1
['Turkish'],1
['Hungarian'],1
[],1
