,Language
"['Spanish, Castilian']",462
['English'],394
['German'],49
['Portuguese'],22
"['Catalan, Valencian']",14
['French'],9
['Italian'],8
"['Romanian, Moldavian, Moldovan']",6
['Somali'],5
['Croatian'],3
['Tagalog'],3
['Estonian'],2
['Russian'],1
['Finnish'],1
[],1
['Welsh'],1
['Indonesian'],1
['Norwegian'],1
['Vietnamese'],1
"['Dutch, Flemish']",1
['Lithuanian'],1
['Swahili'],1
['Turkish'],1
['Hungarian'],1
[],1
