,Language
"['Spanish, Castilian']",462
['English'],399
['German'],44
['Portuguese'],21
"['Catalan, Valencian']",13
['French'],11
"['Romanian, Moldavian, Moldovan']",8
['Italian'],7
['Somali'],5
['Croatian'],3
['Korean'],2
['Tagalog'],2
['Estonian'],2
['Finnish'],1
['Welsh'],1
['Indonesian'],1
['Norwegian'],1
['Vietnamese'],1
"['Dutch, Flemish']",1
['Lithuanian'],1
['Swahili'],1
['Turkish'],1
['Hungarian'],1
['Russian'],1
