,Language
"['Spanish, Castilian']",462
['English'],397
['German'],46
['Portuguese'],22
"['Catalan, Valencian']",11
['French'],10
['Italian'],9
"['Romanian, Moldavian, Moldovan']",8
['Somali'],6
['Tagalog'],3
['Croatian'],2
['Estonian'],2
['Norwegian'],1
['Korean'],1
['Russian'],1
['Welsh'],1
['Indonesian'],1
['Vietnamese'],1
['Finnish'],1
['Lithuanian'],1
['Swahili'],1
['Polish'],1
['Hungarian'],1
[],1
