,Language
"['Spanish, Castilian']",463
['English'],397
['German'],50
['Portuguese'],18
"['Catalan, Valencian']",14
['French'],9
['Italian'],8
"['Romanian, Moldavian, Moldovan']",7
['Croatian'],3
['Estonian'],3
['Somali'],3
['Swahili'],2
['Tagalog'],2
['Vietnamese'],1
['Turkish'],1
['Hungarian'],1
['Lithuanian'],1
['Finnish'],1
['Norwegian'],1
['Indonesian'],1
['Welsh'],1
[],1
['Russian'],1
['Korean'],1
