,Language
"['Spanish, Castilian']",461
['English'],399
['German'],46
['Portuguese'],22
"['Catalan, Valencian']",12
['French'],10
"['Romanian, Moldavian, Moldovan']",9
['Italian'],7
['Somali'],5
['Croatian'],3
['Tagalog'],2
['Estonian'],2
['Norwegian'],1
['Korean'],1
['Russian'],1
['Welsh'],1
['Indonesian'],1
['Vietnamese'],1
['Finnish'],1
['Lithuanian'],1
['Swahili'],1
['Turkish'],1
['Hungarian'],1
[],1
