,Language
"['Spanish, Castilian']",463
['English'],397
['German'],46
['Portuguese'],23
"['Catalan, Valencian']",12
"['Romanian, Moldavian, Moldovan']",9
['Italian'],8
['French'],8
['Somali'],5
['Tagalog'],3
['Croatian'],3
['Estonian'],2
['Turkish'],1
['Vietnamese'],1
['Hungarian'],1
['Lithuanian'],1
['Finnish'],1
['Norwegian'],1
['Indonesian'],1
['Welsh'],1
['Korean'],1
['Russian'],1
[],1
