,Language
"['Spanish, Castilian']",462
['English'],405
['German'],43
['Portuguese'],20
"['Catalan, Valencian']",12
['French'],10
"['Romanian, Moldavian, Moldovan']",7
['Italian'],6
['Somali'],5
['Croatian'],3
['Tagalog'],3
['Estonian'],2
['Russian'],1
['Indonesian'],1
[],1
['Slovenian'],1
['Welsh'],1
['Vietnamese'],1
['Norwegian'],1
['Finnish'],1
['Lithuanian'],1
['Turkish'],1
['Hungarian'],1
['Korean'],1
