,Language
"['Spanish, Castilian']",463
['English'],399
['German'],48
['Portuguese'],18
"['Catalan, Valencian']",11
['French'],10
"['Romanian, Moldavian, Moldovan']",9
['Italian'],8
['Somali'],5
['Croatian'],3
['Tagalog'],2
['Estonian'],2
['Russian'],1
['Norwegian'],1
['Korean'],1
['Welsh'],1
['Indonesian'],1
['Vietnamese'],1
['Finnish'],1
['Lithuanian'],1
['Swahili'],1
['Turkish'],1
['Hungarian'],1
[],1
